Date,Ticker,Close/Last,Volume,Open,High,Low
03/02/2023,SJIM,25.033,"80,875",24.9,25.07,24.89
03/03/2023,SJIM,24.78,"272,055",25.44,25.44,24.745
03/06/2023,SJIM,24.76,"22,505",24.94,24.94,24.75
03/07/2023,SJIM,24.833,"8,381",24.7,24.833,24.7
03/08/2023,SJIM,24.7753,"5,113",25.08,25.08,24.76
03/09/2023,SJIM,24.8587,"6,073",24.77,24.8587,24.7
03/10/2023,SJIM,25.47,"30,738",25.06,25.53,24.75
03/13/2023,SJIM,25.4393,"42,894",26.18,26.18,25.2901
03/14/2023,SJIM,25.2,"30,258",25.5,25.5,25.13
03/15/2023,SJIM,25.75,"26,539",25.34,25.93,25.34
03/16/2023,SJIM,25.5787,"34,772",26.05,26.05,25.53
03/17/2023,SJIM,26.2602,"19,589",25.86,26.2602,25.76
03/20/2023,SJIM,25.77,"16,821",26.25,26.25,25.76
03/21/2023,SJIM,25.6599,"32,488",25.97,25.97,25.53
03/22/2023,SJIM,25.563,"18,134",25.88,25.88,25.5
03/23/2023,SJIM,25.61,"13,061",25.78,25.78,25.49
03/24/2023,SJIM,25.6,"8,194",25.34,25.73,25.34
03/27/2023,SJIM,25.49,"6,496",25.63,25.63,25.42
03/28/2023,SJIM,25.4496,"14,376",25.51,25.53,25.4496
03/29/2023,SJIM,25.16,"29,268",25.34,25.34,25.16
03/30/2023,SJIM,25.2011,"4,708",25,25.25,25
03/31/2023,SJIM,25.1799,"13,160",25.39,25.44,25.13
04/03/2023,SJIM,25.087,"3,638",25.06,25.16,25.06
04/04/2023,SJIM,24.9061,"8,542",25.24,25.24,24.82
04/05/2023,SJIM,24.9309,"3,792",24.86,24.96,24.86
04/06/2023,SJIM,25.01,"12,034",25.19,25.19,25.01
04/10/2023,SJIM,25.12,"3,587",25.19,25.2,25.09
04/11/2023,SJIM,25.29,"3,223",25.07,25.29,25.07
04/12/2023,SJIM,25.2672,"1,563",25.175,25.31,25.175
04/13/2023,SJIM,25.0834,"2,713",25.41,25.41,25.0834
04/14/2023,SJIM,24.9998,"3,870",25.21,25.21,24.9998
04/17/2023,SJIM,25.0243,"1,426",25.13,25.13,25.0243
04/18/2023,SJIM,24.8852,"3,007",25.13,25.13,24.84
04/19/2023,SJIM,24.8756,"2,752",24.8899,24.93,24.83
04/20/2023,SJIM,24.7594,"4,686",24.65,24.8251,24.65
04/21/2023,SJIM,24.5791,"2,459",24.7613,24.77,24.5791
04/24/2023,SJIM,24.5001,"3,826",24.71,24.71,24.5
04/25/2023,SJIM,24.7921,"5,883",24.65,24.7921,24.65
04/26/2023,SJIM,24.69,"2,923",24.93,24.93,24.6
04/27/2023,SJIM,24.3346,"2,738",24.4001,24.435,24.32
04/28/2023,SJIM,24.3819,"1,454",24.21,24.4,24.21
05/01/2023,SJIM,24.2589,"3,494",24.5,24.5,24.18
05/02/2023,SJIM,24.4394,"1,479",24.495,24.495,24.4394
05/03/2023,SJIM,24.5757,"1,637",24.45,24.5757,24.4
05/04/2023,SJIM,24.8232,"7,185",24.645,24.865,24.645
05/05/2023,SJIM,24.4861,"3,416",24.94,24.94,24.43
05/08/2023,SJIM,24.4801,"1,878",24.61,24.61,24.4801
05/09/2023,SJIM,24.6444,"1,622",24.55,24.6444,24.55
05/10/2023,SJIM,24.6416,"2,334",24.7147,24.7147,24.58
05/11/2023,SJIM,24.6642,"1,638",24.73,24.7935,24.6642
05/12/2023,SJIM,24.7122,891,24.74,24.79,24.71
05/15/2023,SJIM,24.5598,"1,131",24.68,24.68,24.55
05/16/2023,SJIM,24.6252,936,24.595,24.6252,24.49
05/17/2023,SJIM,24.3207,"3,231",24.59,24.59,24.3
05/18/2023,SJIM,24.2702,"1,807",24.325,24.34,24.2702
05/19/2023,SJIM,24.23,"1,311",24.1932,24.23,24.1932
05/22/2023,SJIM,24.1955,"2,632",24.23,24.235,24.18
05/23/2023,SJIM,24.235,919,24.101,24.235,24.09
05/24/2023,SJIM,24.4704,"4,376",24.4329,24.4999,24.43
05/25/2023,SJIM,24.5599,"1,747",24.5,24.59,24.5
05/26/2023,SJIM,24.5046,"3,050",24.55,24.6,24.5046
05/30/2023,SJIM,24.5121,"2,868",24.3,24.55,24.3
05/31/2023,SJIM,24.6327,"1,303",24.7499,24.7499,24.56
